train_number,train_name,day,stop_sequence,station_code,station_name,arrival,departure
12301,Howrah Rajdhani Express,1,1,HWH,Howrah Junction,08:10:00,08:20:00
12301,Howrah Rajdhani Express,1,2,MGS,Mughalsarai (DDU) Jn,20:15:00,20:25:00
12301,Howrah Rajdhani Express,2,3,LKO,Lucknow NR,01:43:00,01:58:00
12301,Howrah Rajdhani Express,2,4,NDLS,New Delhi,10:11:00,10:21:00
12302,New Delhi Rajdhani Express,1,1,NDLS,New Delhi,22:05:00,22:15:00
12302,New Delhi Rajdhani Express,2,2,LKO,Lucknow NR,06:35:00,06:45:00
12302,New Delhi Rajdhani Express,2,3,MGS,Mughalsarai (DDU) Jn,12:00:00,12:02:00
12302,New Delhi Rajdhani Express,2,4,ASN,Asansol Junction,19:58:00,20:00:00
12302,New Delhi Rajdhani Express,2,5,HWH,Howrah Junction,23:21:00,23:31:00
12305,Howrah Rajdhani Express (via Patna),1,1,HWH,Howrah Junction,18:55:00,19:05:00
12305,Howrah Rajdhani Express (via Patna),1,2,ASN,Asansol Junction,22:22:00,22:32:00
12305,Howrah Rajdhani Express (via Patna),2,3,MGS,Mughalsarai (DDU) Jn,06:59:00,07:01:00
12305,Howrah Rajdhani Express (via Patna),2,4,LKO,Lucknow NR,11:50:00,11:55:00
12305,Howrah Rajdhani Express (via Patna),2,5,NDLS,New Delhi,20:15:00,20:25:00
12306,New Delhi Rajdhani Express (via Patna),1,1,NDLS,New Delhi,15:35:00,15:45:00
12306,New Delhi Rajdhani Express (via Patna),1,2,LKO,Lucknow NR,23:10:00,23:15:00
12306,New Delhi Rajdhani Express (via Patna),2,3,MGS,Mughalsarai (DDU) Jn,04:16:00,04:31:00
12306,New Delhi Rajdhani Express (via Patna),2,4,GAYA,Gaya Junction,08:14:00,08:34:00
12306,New Delhi Rajdhani Express (via Patna),2,5,ASN,Asansol Junction,12:26:00,12:41:00
12306,New Delhi Rajdhani Express (via Patna),2,6,HWH,Howrah Junction,16:28:00,16:38:00
12261,Mumbai CSMT Duronto Express,1,1,CSMT,Mumbai CSMT,13:20:00,13:30:00
12261,Mumbai CSMT Duronto Express,1,2,PUNE,Pune Junction,16:01:00,16:21:00
12261,Mumbai CSMT Duronto Express,2,3,NGP,Nagpur Junction,04:45:00,05:05:00
12261,Mumbai CSMT Duronto Express,2,4,DURG,Durg Junction,09:15:00,09:20:00
12261,Mumbai CSMT Duronto Express,2,5,HWH,Howrah Junction,22:20:00,22:30:00
12262,Howrah Duronto Express,1,1,HWH,Howrah Junction,09:05:00,09:15:00
12262,Howrah Duronto Express,1,2,DURG,Durg Junction,23:15:00,23:30:00
12262,Howrah Duronto Express,2,3,PUNE,Pune Junction,14:19:00,14:39:00
12262,Howrah Duronto Express,2,4,CSMT,Mumbai CSMT,16:37:00,16:47:00
12951,Mumbai Rajdhani Express,1,1,BCT,Mumbai Central,07:50:00,08:00:00
12951,Mumbai Rajdhani Express,1,2,PUNE,Pune Junction,10:10:00,10:20:00
12951,Mumbai Rajdhani Express,1,3,ADI,Ahmedabad Jn,19:08:00,19:18:00
12951,Mumbai Rajdhani Express,2,4,BPL,Bhopal Junction,04:34:00,04:44:00
12951,Mumbai Rajdhani Express,2,5,JP,Jaipur Junction,12:18:00,12:38:00
12951,Mumbai Rajdhani Express,2,6,NDLS,New Delhi,16:51:00,17:01:00
12952,New Delhi Rajdhani Express,1,1,NDLS,New Delhi,09:35:00,09:45:00
12952,New Delhi Rajdhani Express,1,2,JP,Jaipur Junction,14:06:00,14:26:00
12952,New Delhi Rajdhani Express,1,3,ADI,Ahmedabad Jn,23:38:00,23:53:00
